"stno","X2013.02.01","X2013.02.02","X2013.02.03","X2013.02.04","X2013.02.05","X2013.02.06","X2013.02.07","X2013.02.08","X2013.02.09","X2013.02.10","X2013.02.11","X2013.02.12","X2013.02.13","X2013.02.14","X2013.02.15","X2013.02.16","X2013.02.17","X2013.02.18","X2013.02.19","X2013.02.20","X2013.02.21","X2013.02.22","X2013.02.23","X2013.02.24","X2013.02.25","X2013.02.26","X2013.02.27","X2013.02.28"
"C0U750","-3.3917","-4.0994","-5.4323","-3.1956","-4.8256","3.7536","4.6114","5.1607","5.7921","4.4938","2.8344","5.9474","3.4341","-3.9611","5.7436","3.3547","-5.2992","-4.2836","8.0212","2.717","3.0743","6.7732","4.2772","-6.1764","-5.0667","-5.5583","4.8001","3.1715"
"C0U760","-0.0782","-0.097","-0.3268","-0.25","-0.2677","0.3995","0.6364","0.7548","1.094","0.7188","0.3286","-0.5248","0.2868","-0.121","0.7547","0.3","-0.1654","-0.725","0.55","0.3709","0.4532","0.8632","0.3355","-0.227","-0.736","-0.2867","0.4702","0.1408"
"C0U770","2.1064","1.7552","-2.2944","0.2092","2.0994","1.9939","1.3667","2.6963","1.3016","2.2776","2.4107","0.6532","2.1148","2.7282","0.6891","2.0967","2.9799","3.007","2.6837","1.2713","1.1267","2.6847","2.0353","2.3013","-3.3483","2.9002","2.1613","1.757"
"C0V250","0.2598","-0.4","-0.197","-0.3","-0.1","-0.1879","0.1532","-0.3939","-0.2598","-0.5909","-0.197","-0.4924","-0.0684","-0.197","0.1928","-0.2819","0.1532","-0.3759","0.2819","-0.4","-0.197","-0.2954","-0.197","-0.197","0.197","0.0174","0","0.1732"
"C0V310","0.35","0.383","0.6062","-0.2736","0.4","0.6428","1.2124","1.2124","0","1.2216","0.766","0.6894","0","0","0.866","-0.4","-0.3857","-0.3464","-0.3078","0.1368","0.766","1.6914","0.6928","-0.4","-0.0868","0.4","-0.5362","-0.2052"
"C0V370","0.1879","-0.1","0.094","0.0643","0.0766","-0.0174","0.1928","0.2954","0.2954","0.2598","0.1732","0.197","0","0.0684","0.3464","0.15","0.1286","-0.0347","0.2598","0.1532","0.0684","0.2954","0.1532","0.1","0.0174","0.0985","0.2298","0.0521"
"C0V490","0.6894","0.1928","1.4722","0.433","1.0392","1.3856","2.0673","2.4249","1.9734","2.5115","2.0785","2.5372","1.299","0.8457","1.8794","1.2124","0.866","-1.3156","1.5035","2.1613","2.3492","2.5372","1.6742","1.5975","0.9848","0.25","1.4722","1.3156"
"C0V500","0.2","0.0174","0.3064","-0.0643","0.1026","0.2571","0.6062","0.7878","0.6894","0.9","0.5909","0.6894","0.2819","0.0347","0.5362","0.2954","0.1879","-0.3759","0.45","0.5638","0.7518","0.8863","0.5638","0.433","0.0521","0.0347","0.3857","0.1026"
"C0X080","1.2","2.0681","2.6311","1.2216","1.7854","1.9734","3.195","4.6045","4.0377","4.0377","4.1346","3.9467","4.1346","2.462","3.2499","3.4769","1.6914","-0.9642","4.1362","4.9804","4.5105","5.1683","4.3226","1.2216","1.6914","0.8863","2.6311","2.4432"
"C0Z050","-0.4974","-0.2331","-0.0788","-0.4045","-0.1338","-0.3277","-0.4145","-0.3709","-0.0731","-0.2298","-0.1638","-0.3019","-0.2331","-0.0788","-0.3392","-0.2396","-0.1554","-0.2229","-0.4145","-0.1554","-0.1658","-0.3109","-0.0766","-0.1638","-0.2973","-0.0755","-0.2427","-0.0719"
"C0Z061","0.0469","0.6632","0.007","-0.0436","0.7922","0.8457","0.8222","1.3244","1.0718","0.6973","0.1389","1.0998","0.2661","-0.007","1.0286","1.0286","-0.0436","-0.061","1.2583","1.0903","0.2997","1.0595","0.8572","0.7999","0.3441","0.0349","1.1143","0.4243"
"C0Z070","-0.3","0.7794","-0.0588","-0.4316","0.8988","1.1143","0.848","1.5147","0.7092","0.6997","0.4663","0.7128","0.6395","0.4891","0.9063","0.6344","-0.1816","-0.9994","1.0876","0.7128","0.5283","0.7715","0.6619","0.5663","-0.1315","-0.5996","0.7872","0.6237"
