"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"C0E610","0.394","-0.2034","0.6894","0.4728","0.5926","-0.944","0.5755","0.2934","0.1953","0.5822","0.4993","0.2624","0.7999","-0.0209","0.3759","0.1294","0.6761","0.4698","0.0087","0.1792","0.4806","-0.3441","-0.5248","0.7364","-0.0939","0.5926","0.4455","0.8933","-0.2723"
"C0E730","1.198","2.8007","1.2981","0.4963","0.7981","-0.5738","2.192","2.2362","0.6292","1.3923","1.9126","-0.2424","0.6847","0.4993","1.7956","2.5774","2.9682","2.7032","1.4588","-0.3009","0.328","0.3657","0.6847","1.3743","2.1039","2.4858","2.0843","1.2257","1.3923"
"C0F861","-1.0286","-1.2436","-2.2936","-1.1032","-0.8912","-1.3265","-1.6961","-1.9068","-1.9505","-0.9329","-0.8387","-0.2867","-0.5298","-0.6237","-0.9011","-1.4972","-1.4562","-1.2287","-1.5096","-0.4243","0.2121","-0.983","-1.7143","-2.0967","-1.618","-1.8451","-1.3106","-0.8387","-1.3106"
"C0G640","2.6198","4.1777","3.3552","2.247","1.5961","1.0993","4.2596","3.8613","2.5579","2.5441","3.5952","2.4583","1.3966","1.5803","2.8096","4.4099","4.833","5.1998","3.8613","2.8191","1.5706","1.0718","1.3981","1.9289","3.0294","3.9932","3.564","2.7154","2.614"
"C0G650","0.227","1.0973","0.7995","0.4405","0.6999","0.6062","0.8951","0.7989","0.4963","0.7825","0.7981","0.7956","0.7999","0.4568","0.4863","1.0993","1.3998","1.3998","1.0998","0.6962","0.4999","0.6062","0.0853","0.3286","0.7981","0.8","0.5996","0.7853","0.5977"
"C0H990","-3.921","-3.9068","-5.4389","-3.0854","-3.4472","-6.4348","-7.9669","-7.5072","-6.5114","-3.8105","-2.911","-0.3299","-2.8283","-2.8283","-4.8261","-6.588","-5.1325","-5.0559","-4.4167","-0.4689","-3.4711","-5.8219","-8.0435","-8.8861","-7.737","-8.8095","-6.8178","-5.2857","-6.4348"
"C0H9A0","0.1216","0","-0.1042","0.1389","0","-1.6454","-0.7794","0","-0.1042","0","-0.1042","0","-0.0521","0.2052","0.0521","0.15","-0.2052","-0.1563","0.171","-0.1389","0","0.3","-0.2736","-0.2605","-1.1818","-0.7878","-0.5638","-0.4446","0"
"C0H9C0","1.4141","1.2188","0.7042","0","0.9272","1.8385","2.1824","0.5456","0","0","0.6615","1.3486","1.1181","0.8425","1.4849","1.8385","2.2294","1.5849","2.769","1.4849","1.2948","1.7366","2.0768","2.4758","1.8656","2.069","2.0569","2.0479","1.7634"
"C0I010","0","0","0","-0.1563","0","-0.1736","-1.4095","-0.5196","-0.4596","0","-0.2394","0","0","0","-0.0868","0","0.6062","0.1216","0","0.3464","-0.1389","0.866","-0.1736","0","-1.0833","0.513","0","0","0"
"C0I090","-0.6062","0.7794","0.1854","0.7981","0.8607","0.6359","0.7825","0.4908","0.5738","0.7878","-0.431","0.6914","0.5362","0.7853","-0.3914","0.5196","0.2796","0.5663","0.4568","0.6914","-0.5734","0.8803","0.7092","0.5664","0.9848","-0.2339","0.6344","0.6894","0.7518"
