"stno","X2018.02.01","X2018.02.02","X2018.02.03","X2018.02.04","X2018.02.05","X2018.02.06","X2018.02.07","X2018.02.08","X2018.02.09","X2018.02.10","X2018.02.11","X2018.02.12","X2018.02.13","X2018.02.14","X2018.02.15","X2018.02.16","X2018.02.17","X2018.02.18","X2018.02.19","X2018.02.20","X2018.02.21","X2018.02.22","X2018.02.23","X2018.02.24","X2018.02.25","X2018.02.26","X2018.02.27","X2018.02.28"
"C0O810","0.1753","0.1042","-0.0209","-0.0726","0.2264","0.2911","0.0157","0.0827","0.2923","0.1628","0.0968","-0.1103","0.169","0.2248","0.4086","0.3632","-0.121","0.104","0.1097","0.1575","0.263","-0.0436","0.2424","0.0609","0.1251","0.4015","0.2052","0.1336"
"C0O900","0.3658","0.0681","0.3486","0.1832","0.8396","0.2615","0.0733","0.3442","-0.0436","0.9941","0.286","0.2528","0.1743","0.3623","0.4049","0.1569","0.4961","0.5399","0.3824","-0.0401","0.3345","-0.2702","0.1204","0.2803","0.8023","0.2528","0.4579","0.0942"
"C0O930","-0.1954","-0.1531","-0.6578","-0.5706","-0.4684","-0.1378","0.3774","0.2624","0.3682","-0.699","-0.5996","-0.1939","-0.1216","-0.7922","1.1607","0.5803","-0.5955","0.1929","-0.5248","-0.4997","-0.5734","0.0832","-0.4938","0.0627","-0.3945","-0.4728","0.6784","0.4388"
"C0R100","0.4316","-0.7872","0.0523","0.1792","0.2192","-0.6932","0.0436","0.061","-0.5738","0.5663","-0.0209","-0.5673","0.0314","1.0625","-0.9744","-0.6709","-0.6709","-0.412","-0.6","-0.0157","-0.5755","0.2847","-0.7548","-0.6535","-0.4702","-0.495","0.8733","0.0157"
"C0R150","-0.5905","0.2847","0.0488","-0.7417","-0.6857","-0.3394","0.6237","0.0366","-0.5673","-0.7188","-0.6181","0.0627","-0.8607","1.8264","2.1874","1.6804","1.2216","0.9998","1.6914","1.1326","0.5905","-0.9976","-0.725","-0.2867","-0.7456","-0.5353","0.515","0.9057"
"C0R220","-1.4888","0.6642","-1.5455","-1.4888","0.5244","-0.6695","-0.4994","0.2099","0.0959","-1.6977","-1.3864","0.0767","-1.1478","0.5071","0.1584","0.7417","-1.0692","0.3708","0.9811","1.0064","-1.4888","0.9725","-1.2968","0.0941","-1.3896","-1.3923","0.547","0.3149"
"C0R270","-0.4961","0.5209","-0.882","-0.4454","-0.4732","-1.0959","0.1604","0.2923","0.0454","-0.5533","-0.4067","-0.1656","0.9534","2.9544","0.9889","0.1777","-1.757","0.0942","1.0598","-0.8596","0.4689","-0.7718","-0.5953","-0.1569","1.6971","-1.7097","-0.6725","-0.6156"
"C0R280","2.2286","2.0845","2.4723","2.274","2.1571","3.411","2.4057","2.9403","2.4489","1.6618","3.2361","2.8096","2.6964","1.3994","0.5936","0.4455","3.0612","1.6618","1.0126","1.0692","1.6038","2.3166","2.673","1.501","0.9429","2.7621","1.7321","-0.4999"
"C0R350","4.5852","0.5428","1.228","1.1987","0.5806","5.2512","0.2983","4.2441","3.7299","1.9013","5.0912","5.2512","5.7502","3.7735","3.3581","1.3435","5.5155","3.0212","2.0983","1.9917","3.7536","4.2132","4.8915","2.7434","1.2609","5.7276","3.5105","2.4"
"C0R420","3.3669","2.9631","3.632","3.6052","3.4103","4.677","3.9126","4.1362","3.1825","2.7282","3.7","3.8148","3.4468","2.0672","1.3994","1.2951","3.4357","2.5984","2.0284","2.1148","2.2986","2.7847","3.1825","2.462","1.9973","3.565","2.4939","-0.9405"
"C0S680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
