,stno,name,Lon,Lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
121,C1S800,華源,121.0233,22.6579,1.44,1.39,1.18,2.88,4.96,10.25,7.91,10.92,13.14,11,4.77,1.28
123,C1S880,壽卡,120.8589,22.2389,3.45,3.7,3.1,4.35,7.39,13.42,12.92,14.72,13.82,11.32,5.89,2.95
125,C1T940,大觀,121.3731,23.7142,2.8,2.68,3.04,3.73,7.67,9.32,10.35,13.14,15.26,16.49,7.02,3.2
127,C1V160,達卡努瓦,120.7053,23.2798,1.83,1.74,2.09,4.75,14.54,22.07,18.75,21.76,15.05,3.45,2.08,1.36
129,C1V200,梅山,120.8236,23.2684,1.97,1.56,2.32,5.32,13.8,19.06,12.68,14.34,9.08,2.7,2.35,1.41
131,C0A9B0,石牌,121.5138,25.1163,2.81,3.63,3.25,4.87,7.63,9.83,4.67,9.68,5.73,3.95,2.64,2.03
133,C0R360,墾丁,120.8022,21.9456,1.3,1.44,0.71,1.69,5.53,10.41,11.91,19.84,11.56,7.03,2.05,1.09
135,C0R370,佳樂水,120.8446,21.992,2.18,2.19,1.37,1.83,6.47,11.28,13.97,21.43,12.72,8.77,4.88,1.81
137,C0R400,楓港,120.6927,22.1902,0.77,0.49,0.59,1.75,6.5,11.94,12.2,22.1,12.56,4.04,1.13,0.61
139,C1A730,公館,121.5395,25.0144,3.89,5.51,4.2,4.95,9.07,14.65,8.2,12.07,8.75,6.47,3.84,3.83
141,C1R300,旭海,120.8877,22.1946,2.73,2.48,2.33,3.27,7.49,13.47,14.66,17.28,13.99,9.93,5.06,2.33
143,C1R320,車城,120.7162,22.0744,0.78,0.67,0.45,1.59,5.74,8.43,10.52,16.6,9.78,4.4,1.56,1.09
145,C1R340,牡丹,120.7926,22.13,1.33,1.34,0.76,2.09,7.59,13.89,15.99,24.25,16.74,7.17,2.67,1.14
147,C1S620,土阪,120.8876,22.4531,2.11,1.81,1.41,4.01,6.36,14.58,13.37,14.48,18.77,11.03,5.53,1.65
149,C1S630,都蘭,121.228,22.8784,1.43,1.34,1.03,2.66,5.42,7.51,6.63,9.11,9.5,9.02,4.97,1.39
151,C1S660,下馬,121.07,23.1502,1.5,1.41,1.43,2.47,4.05,6.28,7.21,9.07,14.38,8.74,3.38,1.85
