day,PP01,PS01,TX01,WD_u,WD_v
152,0.505888463,-1.081820736,0.771149968,-0.96138611,-1.281349265
153,2.450849289,-1.165185172,0.745506709,-0.81896043,-1.345741469
154,2.539670366,-1.005689903,0.738993322,-0.81896043,-1.481199578
155,2.083273387,-1.000709395,0.756892316,-0.675672988,-1.260245937
156,1.838749698,-1.005749192,0.75102001,-0.555183057,-0.853150127
157,1.034399762,-0.963118295,0.77391944,-0.935846631,-0.766211633
158,1.65047845,-0.95197142,0.836976212,-1.289012178,-1.208840396
159,2.272362258,-1.118700316,0.879903027,-1.262062545,-1.506631793
160,2.384104024,-1.144432997,0.905930934,-1.230960788,-1.365221463
161,1.756224316,-1.163584285,0.928548288,-1.417963042,-1.732816173
162,1.598341377,-1.149354238,0.931112614,-1.369156002,-2.114840509
163,1.831772651,-1.163465706,0.924163291,-1.363123671,-2.106543475
164,1.916178566,-1.220563831,0.915547156,-1.289403888,-1.771595792
165,2.028138364,-1.21979302,0.913034116,-1.463949771,-1.990024249
166,0.497276171,-1.262008891,0.967167035,-1.493876399,-1.802258746
167,0.40782825,-1.239892987,1.018248406,-1.496696709,-1.508976607
168,0.270249608,-1.243450499,1.070124717,-1.602928405,-1.445125514
169,0.283168046,-1.231236366,1.072689043,-1.488627488,-1.5728277
170,0.229913556,-1.223824872,1.073535271,-1.523176291,-1.448913291
171,0.397553459,-1.21979302,1.124950004,-1.673044457,-1.700529886
172,0.245230354,-1.165363041,1.163158459,-1.766663097,-1.837791699
173,0.24460351,-1.29770261,1.192827709,-1.810064542,-1.334197768
174,1.347412977,-1.469352722,1.159747905,-1.84320319,-1.569039924
175,0.777584479,-1.351658273,1.156773287,-2.001062236,-1.706482107
176,0.27346559,-1.19346742,1.1831602,-1.964946593,-1.874767615
177,-0.429063068,-1.013635026,1.23219011,-1.809281122,-1.254654457
178,-0.592178793,-0.976458999,1.259089888,-1.74676424,-1.206134842
179,-0.154287341,-0.997566911,1.232856835,-1.679468498,-1.204691879
180,-0.688767285,-0.986420036,1.250089105,-1.79917501,-1.315619625
181,-0.933754293,-0.976992605,1.289938728,-1.759455637,-1.402558119
182,-0.091548427,-1.049625216,1.291041388,-1.725455227,-1.395162936
183,0.701681841,-1.082235786,1.275014352,-1.766036361,-1.505188831
184,0.435518405,-1.077195966,1.271860231,-1.766271387,-1.615755836
185,0.561377789,-1.081405686,1.271193506,-1.662389951,-1.661209157
186,-0.315386262,-1.079449062,1.282886832,-1.702971085,-1.52196327
187,-0.511125131,-1.156587841,1.319659265,-1.695136889,-1.518175494
188,-0.172602089,-1.236513344,1.270731928,-1.616794931,-1.216235579
189,0.977111667,-1.307011439,1.23911379,-1.482438473,-0.917903072
190,0.796035498,-1.373536972,1.248037644,-1.388193097,-1.109817091
191,1.632599767,-1.500836745,1.240806245,-1.561407167,-1.181063367
192,0.601332284,-1.364168854,1.260013046,-1.968785349,-1.29577889
193,-0.544865694,-1.228746112,1.294349369,-1.653772335,-1.323555919
194,0.913309844,-1.266515058,1.279219846,-1.547697324,-1.699086924
195,0.190994716,-1.108620676,1.292836416,-1.460111015,-1.517814753
196,-0.674077331,-1.019801393,1.308273658,-1.546913905,-1.166273001
197,-0.443753023,-1.115320673,1.304452812,-1.448908115,-0.982114905
198,0.688845164,-1.228627533,1.264757048,-1.439037028,-1.021435635
199,2.260561238,-1.364168854,1.254089453,-1.641315964,-1.220925208
200,2.11281682,-1.23408238,1.236472534,-1.716445902,-1.177816701
201,-0.398729267,-1.043992478,1.299324161,-1.50633277,-0.885616784
202,-0.179933439,-1.041442934,1.313274093,-1.406055064,-0.958125653
203,0.041369766,-1.109925092,1.297221414,-1.327948132,-0.901669743
204,0.607082897,-1.180363898,1.281655956,-1.445461069,-1.207036693
205,-0.640391277,-1.227500986,1.280476366,-1.273343787,-1.257360012
206,0.119016666,-1.354622866,1.244498874,-1.416161176,-1.243471498
207,0.805901478,-1.37507857,1.212932023,-1.357248024,-1.314357033
208,1.464959864,-1.37934758,1.200700189,-1.420940036,-1.339789248
209,1.443292863,-1.480499597,1.229318065,-1.172909397,-0.859102348
210,1.329179991,-1.599854246,1.227984616,-1.354427713,-0.856396793
211,2.18912827,-1.603886097,1.210906206,-1.394460454,-1.176012998
212,2.221642398,-1.578034813,1.221548158,-1.304837254,-1.271248527
213,1.056148525,-1.528051735,1.239754871,-1.35387932,-1.027027115
214,1.221907896,-1.445754534,1.242857706,-1.318938806,-0.891929746
215,0.527746243,-1.396364374,1.222599532,-1.267703166,-0.670976105
216,2.146502874,-1.454055418,1.172954183,-1.438802002,-1.282431487
217,0.528454849,-1.486369517,1.203085012,-1.338210928,-1.548838448
218,-0.036604183,-1.623393145,1.240934461,-1.096134278,-1.681049892
219,1.741616124,-1.914101436,1.232010607,-0.93059772,-1.871520949
220,3.922624617,-2.010095055,1.259166818,-1.438645318,-1.90633242
221,2.029937134,-1.740138939,1.233190197,-1.442249049,-1.650026197
222,0.707923027,-1.479788099,1.237729054,-1.524586447,-1.825706888
223,0.512592969,-1.339029091,1.230959234,-1.290814044,-1.626036945
224,1.25559395,-1.410594444,1.219906989,-1.35748305,-1.422579225
225,0.814213975,-1.406088253,1.222599532,-1.515577121,-1.058591921
226,0.981445067,-1.308908797,1.206162203,-1.376990197,-0.915558257
227,0.760959485,-1.290587586,1.19354572,-1.365317246,-0.815633101
228,-0.103213177,-1.366836999,1.214188543,-1.071848271,-0.679273139
229,0.220892452,-1.463542115,1.206239133,-0.943445801,-0.639050558
230,1.433563153,-1.519335824,1.193084141,-1.052341123,-0.783707554
231,1.44307483,-1.418065204,1.197417852,-1.151365358,-0.785150517
