"stno","2012-06-01","2012-06-02","2012-06-03","2012-06-04","2012-06-05","2012-06-06","2012-06-07","2012-06-08","2012-06-09","2012-06-10","2012-06-11","2012-06-12","2012-06-13","2012-06-14","2012-06-15","2012-06-16","2012-06-17","2012-06-18","2012-06-19","2012-06-20","2012-06-21","2012-06-22","2012-06-23","2012-06-24","2012-06-25","2012-06-26","2012-06-27","2012-06-28","2012-06-29","2012-06-30"
"C0D550","809.2","807.6","805.8","806","807.2","807.7","808.4","809.1","807.4","804.8","802.8","802.4","805.2","805.3","805","808","808.7","806","803.5","802.5","807.8","809.7","808.8","809.1","809.1","809.3","810.4","808.3","808","811.2"
"C0D560","992.4","990.7","987.5","988","988.9","988.8","989.2","989.3","987.7","984.9","982.9","983.3","986.7","986.7","986.1","989.7","989.9","987.1","984.4","983.3","990.7","991.7","990.1","990.4","990.6","990.9","992.1","988.8","989","993.3"
"C0D570","1006.9","1005.1","1002.5","1002.5","1003.2","1003.2","1003.5","1003.7","1002.4","999.3","997.3","997.6","1001","1001","1000.4","1004","1004.4","1001.4","998.6","997.7","1005.1","1006","1004.5","1004.8","1005.1","1005.6","1006.9","1003.5","1003.6","1008.1"
"C0D580","994.4","992.6","989.9","989.9","990.7","990.8","991.1","991.2","989.7","986.9","985","985.2","988.6","988.6","988","991.6","991.9","989.1","986.3","985.3","992.6","993.6","992","992.3","992.5","992.8","994.1","990.8","991","995.2"
"C0D590","993.3","991.6","988.6","988.9","989.8","989.8","990.1","989.9","988.5","985.5","983.2","984.1","987.6","987.6","987","990.6","990.9","988","985.2","984.2","991.5","992.6","991.1","991.4","991.8","992.2","993.5","990.2","990.3","994.7"
"C0E420","1004.1","1002.4","999.8","999.8","1000.5","1000.6","1000.9","1001","999.8","996.8","994.8","995","998.4","998.3","997.8","1001.3","1001.8","998.8","995.9","995","1002.4","1003.4","1001.8","1002.2","1002.3","1002.6","1003.8","1000.3","1000.6","1005"
"C0E430","982.7","981","978.3","978.6","979.3","979.5","979.8","979.9","978.3","975.6","973.9","974","977.3","977.4","976.8","980.4","980.7","977.9","975","974.1","981.3","982.3","980.6","980.9","981.2","981.5","982.8","979.5","979.8","984"
"C0E530","968.7","966.8","964.4","964.6","965.5","965.9","966.4","967.3","966","963.1","961.3","960.5","963.4","963.4","963.2","966.5","967","964.2","961.5","959.9","967.3","968.8","967.7","968","968","968","969.1","965.9","966","970.1"
"C0E610","915.6","913.7","911.6","911.9","912.8","913.5","914.1","914.8","913.3","910.7","909","908.1","910.9","911","910.8","914","914.6","911.9","909.2","907.8","914.4","916.1","915","915.4","915.4","915.5","916.6","913.8","913.7","917.5"
"C0E730","1003.1","1001.3","998.6","998.6","999.4","999.5","999.7","999.9","998.6","995.7","993.7","993.9","997.3","997.2","996.7","1000.3","1000.7","997.7","994.8","993.9","1001.4","1002.3","1000.7","1001","1001.5","1002","1003.3","1000","1000.1","1004.5"
"C0F861","780.1","778.4","777","776.7","778","778.6","779.6","780.7","779","776.2","774.1","773.6","776.1","776.2","776.2","778.8","779.5","776.7","775","773.8","778.9","781","780.4","780.7","780.3","780.2","781","779.7","779.1","781.8"
"C0G640","1005.9","1003.9","1001.6","1001.8","1002.8","1003.3","1003.9","1004.8","1003.6","1000.5","998.8","997.9","1000.7","1000.6","1000.7","1003.7","1004.5","1001.6","999","996.3","1005","1006.5","1005.6","1006","1005.8","1005.7","1006.6","1003.4","1003.2","1007.5"
"C0G650","1002.6","1000.6","998.3","998.5","999.5","1000","1000.6","1001.8","1000.7","997.5","995.9","994.8","997.4","997.4","997.5","1000.4","1001.1","998.2","995.9","993.6","1001.9","1003.5","1002.5","1002.8","1002.7","1002.5","1003.4","1000.1","1000.1","1004.2"
"C0H990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0H9A0","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0H9C0","678.4","677.2","675.8","675.8","676.8","677.5","678.6","679.3","677.7","675","672.7","672.5","675.1","675.1","675.1","677.4","678.2","675.7","673.8","672.9","677.2","679","678.4","678.6","678.6","678.8","679.5","678.2","677.9","680.5"
"C0I010","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
