"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"203","C1U690",6.46,4.11,11.76,9.04,8.14,6.45,5.34,4.75,5.79
"204","C1V160",2.89,1.25,3.33,0.02,3.14,1.12,1.64,0.43,1.84
"205","C1V170",3.66,1.64,3.69,0.07,2.45,0.8,2.3,0.71,2.2
"206","C1V190",7.91,2.46,6.76,0.05,6.29,1.62,3.4,2.05,5.75
"207","C1V200",3.52,1.07,2.97,0,2.61,0.89,1.36,0.34,1.32
"208","C1V220",3.34,1.02,3.14,0,3.41,1.64,1.66,0.79,1.88
"209","C1V300",3.16,0.75,2.22,0.07,1.8,1.55,0.9,0.36,1.79
"210","C1V340",1.57,0.36,1.24,0.02,1.27,0.84,0.29,0.07,0.75
"211","C1V390",0.73,0.09,1.16,0,0.38,0.66,0.45,0,0.34
"212","C1X040",1.59,0.55,1.93,0.04,1.84,1.09,0.53,0.12,1.14
"213","C1Z030",1.82,0.93,1.71,1.5,2.61,0.54,1.66,0.75,0.82
"214","C1Z040",1.91,1.43,2.98,2.5,3.59,0.98,2.21,1.66,2.21
"215","C0A9B0",6.41,1.84,7.07,1.14,5.7,2.05,1.76,3.21,3.45
"216","C0R360",0.09,1.84,4.14,2.04,1.41,0.59,0.34,1.09,1.38
"217","C0R370",0.11,2.52,5.93,3.75,1.71,2.05,0.74,1.98,0.96
"218","C0R380",0.3,0.05,1.9,0,0.86,0.62,0.43,0.05,0.61
"219","C0R400",0.09,0.09,0.97,0.05,0.34,1.86,0.16,0.05,0.77
"220","C1A730",8.62,2.52,10.66,1.21,8.46,2.98,3.47,5.23,6.46
"221","C1R300",0.55,3.46,9.09,3.45,0.5,1.89,0.66,1.43,1.32
"222","C1R320",0.02,0.45,2.28,0.25,0.45,1,0.71,0,0.89
"223","C1R340",0.16,1.91,3.33,1.64,0.86,2.52,0.19,0.38,1.04
"224","C1S620",0.93,1.43,4.22,3.11,2.52,0.75,1.16,1.32,0.82
"225","C1S630",0.59,0.29,2.95,3.8,2.02,0.68,1.02,0.48,0.25
"226","C1S660",2.57,0.89,2.17,0.75,2.36,0.48,0.93,1.2,1.32
