"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"248","C1I290",1.05,2.24,1.74,0.61,0,0.71,8.55,0.05,4.71
"249","C1I310",1.32,2.42,2.35,0.69,0,0.69,9.5,0.06,5.52
"250","C1I320",2.69,3.15,3.76,0.98,0.02,0.63,13.69,0.66,8.39
"251","C1I330",2,2.26,2.15,0.65,0.02,0.48,13.71,0.5,6.37
"252","C1I340",1.16,2.29,2.32,0.52,0,0.87,10.6,0.03,5.69
"253","C1I440",1.42,3.42,3.19,1.03,0,0.97,15.03,0.35,8.27
"254","C1M390",0.89,1.24,1.66,0.61,0,0.42,7.94,0.18,3.26
"255","C1M400",0.61,0.56,0.84,0.4,0,0.44,7.03,0,2.65
"256","C1M480",0.87,0.98,1.44,0.53,0,0.37,7.05,0.11,3.13
"257","C1M600",0.77,1.13,1.44,0.63,0,0.68,8.08,0.08,3.52
"258","C1M610",1.03,1.66,1.74,0.77,0,0.52,7.97,0.19,3.66
"259","C1M620",0.89,1.47,1.84,0.74,0,0.77,8.5,0.03,4.06
"260","C1O850",0.5,0.31,0.32,0.13,0,0.19,6.6,0,1.61
"261","C1O870",0.71,0.74,1.03,0.55,0,0.82,7.6,0.02,2.73
"262","C1O880",0.37,0.76,0.81,0.21,0,0.42,6.79,0,2.23
"263","C1R110",0.23,0.84,0.19,0,0,0.23,4.95,0.03,1.56
"264","C1R120",0.4,0.89,0.39,0.02,0,0.27,6.06,0.06,1.94
"265","C1R250",0.08,0.39,0,0.15,0,0.27,6.03,0.03,1.11
"266","C1R290",1.11,0.69,0.16,3.96,0,0.76,3.52,0.29,1.87
"267","C1S670",1.5,1.84,1.66,1.03,0.52,1.13,6.82,0.95,4.03
"268","C1S800",1.27,0.61,0.52,1.19,0.55,1.1,5.06,0.06,2.6
"269","C1S880",3.97,3.66,1.4,5.89,1.08,1.89,7.42,1.31,4.42
"270","C1T800",2.42,3.08,3.66,1.81,0.23,0.57,8.73,1.24,6.35
"271","C1T810",2.97,4.44,5.61,2.24,0.34,1.31,13.6,1.32,9.1
"272","C1T830",1.18,0.94,2.16,1.71,0.1,1.05,5.45,0.52,3.21
"273","C1T920",2.27,1.06,1.94,2.02,0.35,1.24,6.19,0.73,2.89
"274","C1T940",2.37,1.97,2.73,2.29,0.9,1.53,8.34,1.76,3.31
"275","C1T950",9,13.11,13.08,11.02,5.81,8.23,17.87,8.68,11.29
"276","C1T970",3.29,2.71,2.47,2.82,1.35,2.02,8.58,1.63,2.15
"277","C1T990",2.03,1.69,1.4,1.73,0.68,1.27,6.35,0.65,2.15
"279","C1U670",8.69,8,7.84,9.18,2.24,4,6.45,7.5,15.08
"280","C1U690",10.18,8.76,8.73,11.74,2.24,4.89,6.69,6.5,18.02
"281","C1V160",0.82,1.44,1.13,0.5,0.02,0.68,7.74,0.18,3.94
"282","C1V170",0.65,1.31,1.26,0.76,0,0.9,11.08,0.34,5.79
"283","C1V190",2.6,5.1,5.61,1.61,0,1.44,18.97,0.48,9.76
"284","C1V200",0.76,1.39,1.4,0.31,0,0.65,9.52,0.02,3.66
"285","C1V220",1.26,2.4,1.92,0.56,0.02,0.35,10.9,0.06,4.58
"286","C1V300",1.13,2.05,1.31,0.39,0,0.55,8.6,0.13,3.26
"287","C1V340",0.47,1,0.21,0.11,0,0.18,6.27,0,2.08
"288","C1V390",0.1,0.55,0.13,0.23,0,0.03,4.32,0,1.13
"289","C1X040",0.48,0.55,0.55,0.44,0,0.32,6.55,0.05,2.23
"290","C1Z030",1.73,1.35,1.27,1.47,0.63,1.19,8.03,0.53,2.85
"291","C1Z040",2.21,2.34,1.76,1.76,0.66,1.55,7.6,0.92,3.48
"292","C0A9B0",2.84,1.4,3.26,1.32,0.26,0.73,6.98,0.6,7.9
"293","C0R360",0.97,0.79,0.08,2.9,0.44,1.42,3.27,0.65,1.16
"294","C0R370",1.71,1.89,0.23,5.61,1.76,1.72,3.87,1.08,1.76
"295","C0R380",0.11,0.4,0,0.1,0,0.26,2.76,0.08,1
"296","C0R400",0.5,0.26,0,0.35,0,0.84,3.61,0.37,0.97
"297","C1A730",3.66,3.19,5.52,3.63,0.82,0.66,8.44,1,8.13
"298","C1R300",3.48,3.08,0.85,3.98,1.68,1.34,5.94,1.02,3.19
"299","C1R320",0.69,0.42,0.05,0.81,0,0.48,2.73,0.23,1.65
"300","C1R330",0.63,0.29,0,0,0,0.24,3.13,0.15,0.5
"301","C1R340",1.81,0.95,0.21,1.66,0.31,1.1,3.76,0.53,1.63
"302","C1S620",2.4,1.08,0.53,1.74,1.63,1.16,7.27,0.53,2.69
"303","C1S630",1.06,0.29,1.42,1.18,0.21,1.68,4.97,0.24,1.79
"304","C1S660",1.08,1.73,1.31,0.76,0.1,0.4,4.74,0.48,2.89
