"stno","2016-02-01","2016-02-02","2016-02-03","2016-02-04","2016-02-05","2016-02-06","2016-02-07","2016-02-08","2016-02-09","2016-02-10","2016-02-11","2016-02-12","2016-02-13","2016-02-14","2016-02-15","2016-02-16","2016-02-17","2016-02-18","2016-02-19","2016-02-20","2016-02-21","2016-02-22","2016-02-23","2016-02-24","2016-02-25","2016-02-26","2016-02-27","2016-02-28","2016-02-29"
"C0A940","42","15.5","16.5","62","19.5","0","0","0","0","0","0","0","0","78.5","3","0","17.5","35.5","8.5","0","0","0","7","6","3.5","28.5","67","0","0"
"C0A950","23.5","24.5","7.5","14","0","0.5","0","0","0","0","0","0","0","21.5","0.5","0","4","21.5","5","0","0","0","1","3","0","9","2.5","0","0"
"C0A970","37.5","16.5","11","14.5","3.5","1","0","0","0","0","2","0","0","12.5","3","2","5","25.5","40","0","0","0","6.5","2","0.5","16","20.5","0","0"
"C0A980","15","6.5","1","3.5","6","0","0","0","0","0","0","0","0","18","0","0","4","5","1.5","0","0","0","0","0.5","0","2.5","14.5","0","0"
"C0A9A0","7","7","1","3.5","3.5","0","0","0","0","0","0","0","0","4","0","0","2","7","0.5","0","0","0","0","2","0","1.5","10.5","0","0"
"C0A9C0","5","5","0.5","2","4","0","0","0","0","0","0","0","0","7.5","0.5","0","1.5","5.5","4","0","0","0","0","0.5","0","0.5","7.5","0","0"
"C0A9E0","6.5","7","0.5","3","4","0","0","0","0","0","0","0","0","10.5","0","0","2","6","1","0","0","0","0","1","0","1","7.5","0","0"
"C0A9F0","9","9","1.5","3","5","0","0","0","0","0","0","0","0","4.5","0","0","2.5","9","1","0","0","0","0.5","3","0","1.5","9.5","0","0"
"C0AC40","32","19","7","7","15.5","1.5","0","0","0","0","1","0","0","22.5","5.5","0.5","9","11.5","10","2.5","0.5","0","8.5","24","12","19.5","11","0","0.5"
"C0AC60","32.5","11.5","0","8","8","1.5","0","0","0","0","0","0","0","14","1.5","0","4.5","5","0","1","0","0","2.5","4.5","1.5","2.5","10.5","0","0"
"C0AC70","15.5","16","2","4","5","0","0","0","0","0","0","0","0","5","0.5","0","3.5","9.5","0","1.5","0","0","1.5","7.5","0","6","9.5","0","0"
"C0AC80","26.5","21","2","4.5","7","0.5","0","0","0","0","0","0","0","11","4","0.5","4.5","6.5","0.5","2","0","0.5","6.5","8.5","1.5","3.5","9.5","0","0"
"C0ACA0","19","9.5","0.5","4.5","4.5","0","0","0","0","0","0","0","0","15","0.5","0","3.5","8","1","0","0","0","0.5","1.5","0.5","3","12","0","0"
"C0AD00","62","19.5","27","24.5","14.5","0","0","0","0","0","1.5","0","0","50","3","0","7.5","16","19","0","0","0","10.5","10","6.5","33","43.5","0","0"
