"stno","2013-05-01","2013-05-02","2013-05-03","2013-05-04","2013-05-05","2013-05-06","2013-05-07","2013-05-08","2013-05-09","2013-05-10","2013-05-11","2013-05-12","2013-05-13","2013-05-14","2013-05-15","2013-05-16","2013-05-17","2013-05-18","2013-05-19","2013-05-20","2013-05-21","2013-05-22","2013-05-23","2013-05-24","2013-05-25","2013-05-26","2013-05-27","2013-05-28","2013-05-29","2013-05-30","2013-05-31"
"467110","0.8","0","0","0","3.1","-9998","0","-9998","0.5","0.2","2.9","1.9","0","0","26.2","91.7","0","0","13.6","4.9","20.5","103","0","0","0","0","27.9","0","0","0","0"
"467300","17","-9998","2","0","0","0","0","0","0","0","0","-9998","4","0","0","17.9","43.8","4.6","6.6","24.9","14.9","1.6","2.5","0","0","0","1.7","0","0","0","0"
"467350","23.6","0.8","8.4","0","0","0","0","0.1","-9998","0","0.1","6.5","15.6","0","1.6","13","43.8","-9998","11.5","7.3","96.5","4.7","4.3","0","0","0","5.8","0","0","0","0"
"467410","5.5","5.5","1","0","0","0","0","-9998","0","0","0","10","2","0","0","12.5","96.5","67.5","24.5","29","15","9.5","0.5","0","0","0","0","7","0","0","0"
"467420","1","5","0.5","-9998","0","0","0","-9998","0","0","0","12.5","7","-9998","0","9","83","58.5","10.5","33","14.5","6","0.5","0","0","0","0","3","-9998","0","0"
"467440","23.5","11","0.5","0","0","3","0","-9998","0","0","0","2","2","0","0","9","32","183.5","3","24.5","26","30.5","0.5","0","0","0","0","0","0","0","0"
"467480","60.5","8","2.4","0","-9998","0","-9998","0","0","-9998","10","10","19.6","-9998","0","13","55.5","-9998","41","50.6","97.5","2.5","4","0","0","2.1","0","0","0","0","0"
"467490","18.5","1.6","3","0","0","0","0","0.4","0.1","0","33.4","13.5","17.6","0.1","0.2","3.8","73.8","0.8","55.1","59.8","49.3","10.4","15","0","0","0","0","0","0","0","0"
"467530","39.2","20.7","53","5.5","10.5","26","0","0","0","29","47.5","20","18.5","3.5","10.5","13.5","123","73.5","210","89","138","36","56.5","0","11","11.5","3","0","0.5","53","0"
"467540","54.5","0","0","1","16","67.5","10","2.7","0.1","0","0","2","0","0","1.5","20.1","21.4","8.2","0.5","19.5","13","7","0","9.4","1.5","0","0","0","0","0","0"
