"stno","2015-02-01","2015-02-02","2015-02-03","2015-02-04","2015-02-05","2015-02-06","2015-02-07","2015-02-08","2015-02-09","2015-02-10","2015-02-11","2015-02-12","2015-02-13","2015-02-14","2015-02-15","2015-02-16","2015-02-17","2015-02-18","2015-02-19","2015-02-20","2015-02-21","2015-02-22","2015-02-23","2015-02-24","2015-02-25","2015-02-26","2015-02-27","2015-02-28"
"C0D360","0","0","0.5","2","1.5","1.5","0.5","5.5","1","0","0","0","0","0","2","26.5","0","0","0","0","2.5","0.5","0.5","9.5","0","0.5","1","0"
"C0D390","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","10.5","0","0","0","0"
"C0D480","0","0","2.5","2.5","3","1","0.5","2.5","0","0","0","0","0","0","11","18","0","0","0","0","1.5","0","1","12.5","0","0.5","1","0.5"
"C0D540","0","0","1","0","2.5","0","0.5","2.5","0","0","0","0","0","0","2","27","0","0","0","0","2","0","1.5","5.5","0","1","2","0.5"
"C0D550","0","0","0.5","0","0.5","3","0","1.5","2","0","0","0","0","0","10.5","60.5","0","0","0","0","5","0","1","20.5","0","0","0","0"
"C0D560","0","0","0.5","0","2","0","0","0.5","0","0","0","0","0","0","6","26","0","0","0","0","0.5","0.5","0","9.5","0","0","1","0.5"
"C0D570","0","0","0.5","0","0.5","0","0","1","0","0","0","0","0","0","6.5","19.5","0.5","0","0","0","0.5","0.5","0","5","0.5","0","1","0"
"C0D580","0","0","0","0","3.5","0","0","1","0","0","0","0","0","0","4","25","0.5","0","0","0","1","0","1","8.5","0","0.5","2","0.5"
"C0D590","0","0","0.5","0.5","0.5","0.5","0","1","0","0","0","0","0","0","16.5","13.5","0","0","0","0","1.5","0.5","0","28","0","0.5","2.5","0"
"C0E420","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","4.5","24","0","0","0","0","1","0.5","0","4","0","0","0.5","0"
"C0E430","0","0","1","0.5","1","1","0","1.5","0","0","0","0","0","0","5.5","48","0","0","0","0","2.5","0.5","4.5","7","0","0.5","1.5","0"
"C0E530","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","3.5","27","0","0","0","0","5.5","0","0.5","11.5","0","0","1","0"
"C0E610","0","0","0","0.5","0","0.5","0","0","0","0","0","0","0","0","3.5","39.5","0","0","0","0","4.5","0","0","20.5","0","0","0","0"
"C0E730","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","25.5","0","0","0","0","1","0","0","5.5","0","0","0.5","0"
"C0F861","0","0","0","3.5","0.5","3.5","1","6.5","16","0","0","0","0","0","2.5","19","0","0","0","0","5","0","1.5","8.5","0","0","0","0"
"C0G640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","11.5","0","0","0","0","2","0","0","2","0","0","0","0"
"C0G650","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","8","0","0","0","0","2","0","0","0","0","0","0","0"
"C0H990","0","0","0","0","0","0","0","0.5","0","0","0","0.5","0.5","0","1","10.5","0","0","0","0","3.5","0","12","1.5","0","0","0","0"
"C0H9A0","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0","0","0","12.5","0","0","0","0","23.5","2","0","0","0","0","0","0"
"C0H9C0","0","0","0","3.5","2","0.5","0","3.5","11","1","0","1","0","0","2.5","31","0","0","0","0","12.5","0","11","7","0","0","0","0"
"C0I010","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","6","0","0","0","0","1.5","0","1.5","0","0","0","0","0"
"C0I090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","7","0","0","0","0","0","0","0.5"
