"stno","2018-04-01","2018-04-02","2018-04-03","2018-04-04","2018-04-05","2018-04-06","2018-04-07","2018-04-08","2018-04-09","2018-04-10","2018-04-11","2018-04-12","2018-04-13","2018-04-14","2018-04-15","2018-04-16","2018-04-17","2018-04-18","2018-04-19","2018-04-20","2018-04-21","2018-04-22","2018-04-23","2018-04-24","2018-04-25","2018-04-26","2018-04-27","2018-04-28","2018-04-29","2018-04-30"
"C0H9C0","0.0","0.0","0.0","0.0","0.0","1.5","26.5","0.0","0.0","0.0","0.0","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.0","0.0","0.0","0.0","0.0"
"C0I010","0","0","0","0","0","0","12","0","0","0","0","8","0","14.5","20","17.5","39","0","0","0","0","0","3.5","0.5","1","0","0","0","0","0"
"C0I090","1.5","0.5","0","0","0","0","3","0","0","0","0","2","0.5","0","14.5","3.5","14.5","0","0","0","0","0","21","2","5","0","0.5","0","0","0"
"C0I110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.5","7","15","0","0","0","0","0","5.5","0","0","0","0","0","0","0"
"C0K240","0","0","0","0","0","0","6.5","0","0","0","0","0","1.5","0","1.5","3","13.5","0","0","0","0","0","8","43","2","0","0","0","0","0"
"C0K280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0K330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.5","1","9.5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0M410","0","0","0","0","0","0","3","0","0","0","0","0","0.5","0","3","1","10.5","0","0","0","0","0","34","0","1","0.5","0","3","0","0"
"C0M530","0","0","0","0","1","1","19","0","0","0","0","1.5","0","0","0","8","20.5","0","0","0","0","0","26.5","20","17.5","0.5","0.5","0.5","0","0"
"C0O810","0","0","0","0","0","0","1.5","0","0","0","0","0","0","0","2.5","0","1.5","0","0","0","0","0","0","0","1","0","0","1","0","0"
"C0O900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0O930","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0R100","0","0","0","0","5.5","9","3","0","0","0","0","0","0","0","5.5","6.5","0","0","0","0","0","0","0","0","10","13.5","1.5","0","0.5","0"
"C0R150","0","0","0","0","1.5","1","0.5","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","24.5","10.5","0","0","0","0"
"C0R220","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","4","1.5","2.5","0","0"
"C0R270","3.5","0","0","0","0","4.5","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5.5","0","2","1.5","0"
